1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2020,25303NNCRB437MA,110000745114,UNION CARBIDE CORP SOUTH CHARLESTON FACILITY,437 MACCORKLE AVE SW,SOUTH CHARLESTON,KANAWHA,WV,25303,"","",38.369300,-81.683100,NAD83,DOW INC.,117063457,DOW INC,NO,325,Chemicals,"","","","","","",325199,"","","","","",1320218870970,Nonylphenol Ethoxylates,NO,N535,N535,1978074,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,7386.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7386.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,858.000000,858.000000,0.000000,875.000000,7386.000000,7386.000000,0.000000,7386.000000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,0.000000,858.000000,8261.000000,"",ACTIVITY,0.950000
2020,26062SLCHM3036B,110000344743,SAL CHEMICAL CO INC,3036 BIRCH DR,WEIRTON,BROOKE,WV,26062,"","",40.388560,-80.622840,NAD83,NA,"",NA,NO,4246,Chemical Wholesalers,"","","","","","",424690,"","","","","",1320219146305,Ethylene glycol,NO,0000107211,107-21-1,24257,YES,TRI,NO,0,NO,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2020,26041KMMRPRTE2X,110013725077,AMERICAN ELECTRIC POWER KAMMER/MITCHELL PLANT,RT # 2,MOUNDSVILLE,MARSHALL,WV,26041,"","",39.829509,-80.817249,NAD83,AMERICAN ELECTRIC POWER,006979868,AMERICAN ELECTRIC POWER,NO,2211,Electric Utilities,"","","","","","",221112,"","","","","",1320219309299,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007664939,7664-93-9,152405,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,130000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130000.000000,130000.000000,0.000000,130000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3600000.000000,0.000000,3730000.000000,"",PRODUCTION,0.740000
2020,25515KZCHMSTATE,110000607772,ICL-IP AMERICA INC,11636 HUNTINGTON,GALLIPOLIS FERRY,MASON,WV,25515,"","",38.772220,-82.205560,NAD83,ICL-IP AMERICA INC,NA,ICL SPECIALTY PRODUCTS NORTH AMERICA INC,NO,325,Chemicals,"","","","","","",325998,"","","","","",1320219372529,Phosphorus (yellow or white),NO,0012185103,12185-10-3,153049,YES,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11998.120000,0.000000,11998.120000,"",PRODUCTION,1.070000
2020,26505SWNSNSTATE,110000344912,SWANSON PLATING CORP INC.,2608 SMITHTOWN RD,MORGANTOWN,MONONGALIA,WV,26508,"","",39.531600,-80.001380,NAD83,SWANSON INDUSTRIES INC,NA,SWANSON INDUSTRIES INC,NO,332,Fabricated Metals,"","","","","","",332813,"","","","","",1320218748465,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,1,YES,YES,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4100.000000,0.000000,0.000000,4100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4100.000000,0.000000,0.000000,4100.000000,"",ACTIVITY,0.680000
2020,26739MTSTRHC76B,110007876637,MOUNT STORM POWER STATION,436 DOMINION BLVD,MOUNT STORM,GRANT,WV,26739,"","",39.200465,-79.264781,NAD83,DOMINION ENERGY INC,101715035,DOMINION ENERGY INC,NO,2211,Electric Utilities,"","","","","","",221112,"","","","","",1320218888891,Cobalt  And Cobalt Compounds,YES,N096,N096,649970,YES,TRI,YES,1,NO,NO,NO,R,Pounds,0.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18052.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18052.000000,18052.000000,18000.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18052.000000,"",ACTIVITY,1.000000
2020,26041KMMRPRTE2X,110013725077,AMERICAN ELECTRIC POWER KAMMER/MITCHELL PLANT,RT # 2,MOUNDSVILLE,MARSHALL,WV,26041,"","",39.829509,-80.817249,NAD83,AMERICAN ELECTRIC POWER,006979868,AMERICAN ELECTRIC POWER,NO,2211,Electric Utilities,"","","","","","",221112,"","","","","",1320219309150,Copper compounds,NO,N100,N100,649491,NO,TRI,YES,1,NO,NO,NO,R,Pounds,10.000000,88.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44000.000000,5.000000,44108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3800.000000,0.000000,0.000000,0.000000,3800.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3800.000000,44108.000000,44108.000000,0.000000,44108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3800.000000,0.000000,0.000000,47908.000000,"",PRODUCTION,0.740000
2020,25112NNCRBRTE25,110070828292,UNION CARBIDE CORP INSTITUTE FACILITY,WV STATE RT 25,INSTITUTE,KANAWHA,WV,25112,"","",38.388216,-81.796850,NAD83,DOW INC.,117063457,DOW INC,NO,325,Chemicals,"","","","","","",325199,"","","","","",1320218871034,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,0,NO,NO,NO,R,Pounds,12.000000,744.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,756.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,756.000000,756.000000,0.000000,756.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,756.000000,"",ACTIVITY,0.510000
2020,2633WCSCSLRUTE2,110057521686,CENTRAL SUPPLY CO OF WV - SALTWELL PLANT,4923 BENEDUM DR,BRIDGEPORT,HARRISON,WV,26330,"","",39.351188,-80.222007,NAD83,CENTRAL SUPPLY CO,016037608,CENTRAL SUPPLY CO,NO,327,Nonmetallic Mineral Product,"","","","","","",327320,"","","","","",1320219298559,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1090.780000,0.000000,1090.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1090.780000,1090.780000,0.000000,1090.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1090.780000,"",PRODUCTION,0.770000
2020,26134PLSNTNO1PO,110038775536,PLEASANTS/WILLOW ISLAND POWER STATIONS,1 POWER STATION BLVD RT 2,WILLOW ISLAND,PLEASANTS,WV,26134,"","",39.366940,-81.299980,NAD83,ENERGY HARBOR LLC,192472751,ENERGY HARBOR LLC,NO,2211,Electric Utilities,"","","","","","",221112,"","","","","",1320219270283,Copper compounds,NO,N100,N100,649491,NO,TRI,YES,1,NO,NO,NO,R,Pounds,0.000000,215.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89899.000000,0.000000,0.000000,0.000000,1812.000000,0.000000,91926.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91926.000000,91926.000000,89899.000000,2027.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91926.000000,"",PRODUCTION,1.000000
