"year","stateabbr","statedesc","countyname","countyfips","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2020","WV","West Virginia","Kanawha","54039","54039010600","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.7",,,"3.3","4.2","5393","POINT (-81.81896588 38.40727529)","54039010600","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","WV","West Virginia","Kanawha","54039","54039010300","BRFSS","Health Status","Physical health not good for >=14 days among adults aged >=18 years","%","Crude prevalence","15.3",,,"13.8","16.9","2432","POINT (-81.748817 38.3669006)","54039010300","HLTHSTAT","PHLTH","CrdPrv","Physical Health"
"2020","WV","West Virginia","Kanawha","54039","54039000300","BRFSS","Health Outcomes","Chronic kidney disease among adults aged >=18 years","%","Crude prevalence","4.0",,,"3.7","4.2","3036","POINT (-81.63506186 38.39075585)","54039000300","HLTHOUT","KIDNEY","CrdPrv","Chronic Kidney Disease"
"2020","WV","West Virginia","Kanawha","54039","54039010100","BRFSS","Health Risk Behaviors","Current smoking among adults aged >=18 years","%","Crude prevalence","18.6",,,"16.2","21.1","4102","POINT (-81.7266738 38.37437318)","54039010100","RISKBEH","CSMOKING","CrdPrv","Current Smoking"
"2019","WV","West Virginia","Kanawha","54039","54039012100","BRFSS","Prevention","Cholesterol screening among adults aged >=18 years","%","Crude prevalence","86.9",,,"86.8","87.0","4732","POINT (-81.40399177 38.09961439)","54039012100","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
"2020","WV","West Virginia","Kanawha","54039","54039010400","BRFSS","Prevention","Cervical cancer screening among adult women aged 21-65 years","%","Crude prevalence","83.2",,,"81.7","84.5","1700","POINT (-81.76729152 38.38341819)","54039010400","PREVENT","CERVICAL","CrdPrv","Cervical Cancer Screening"
"2020","WV","West Virginia","Kanawha","54039","54039011301","BRFSS","Health Status","Fair or poor self-rated health status among adults aged >=18 years","%","Crude prevalence","26.0",,,"23.8","28.4","3163","POINT (-81.4704294 38.36727041)","54039011301","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2020","WV","West Virginia","Kanawha","54039","54039013400","BRFSS","Prevention","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years","%","Crude prevalence","34.0",,,"27.6","40.8","2222","POINT (-81.79464278 38.37907144)","54039013400","PREVENT","COREW","CrdPrv","Core preventive services for older women"
"2020","WV","West Virginia","Kanawha","54039","54039011200","BRFSS","Health Status","Fair or poor self-rated health status among adults aged >=18 years","%","Crude prevalence","25.2",,,"22.1","28.5","4619","POINT (-81.32330893 38.46962938)","54039011200","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2020","WV","West Virginia","Kanawha","54039","54039012300","BRFSS","Health Risk Behaviors","Sleeping less than 7 hours among adults aged >=18 years","%","Crude prevalence","38.6",,,"37.7","39.3","6895","POINT (-81.6953662 38.25674543)","54039012300","RISKBEH","SLEEP","CrdPrv","Sleep <7 hours"
"2020","WV","West Virginia","Kanawha","54039","54039000800","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","43.6",,,"42.3","44.9","2056","POINT (-81.64790264 38.36040446)","54039000800","HLTHOUT","OBESITY","CrdPrv","Obesity"
